
xE289A5 '≥' → 8805 ← ≥ 14846373 = 242
xE28CA0 '⌠' → 8992 ← ⌠ 14847136 = 244
xE28CA1 '⌡' → 8993 ← ⌡ 14847137 = 245

xE29480 '─' → 9472 ← ─ 14849152 = 196
xE29482 '│' → 9474 ← │ 14849154 = 179
xE2948C '┌' → 9484 ← ┌ 14849164 = 218
xE294A4 '┤' → 9508 ← ┤ 14849188 = 180
xE29494 '└' → 9492 ← └ 14849172 = 192
xE29490 '┐' → 9488 ← ┐ 14849168 = 191
xE2949C '├' → 9500 ← ├ 14849180 = 195
xE29498 '┘' → 9496 ← ┘ 14849176 = 217
xE294AC '┬' → 9516 ← ┬ 14849196 = 194
xE294BC '┼' → 9532 ← ┼ 14849212 = 197
xE294B4 '┴' → 9524 ← ┴ 14849204 = 193

xE29590 '═' → 9552 ← ═ 14849424 = 205
xE295A6 '╦' → 9574 ← ╦ 14849446 = 203
xE295AC '╬' → 9580 ← ╬ 14849452 = 206
xE295A9 '╩' → 9577 ← ╩ 14849449 = 202
xE29594 '╔' → 9556 ← ╔ 14849428 = 201
xE29591 '║' → 9553 ← ║ 14849425 = 186
xE2959A '╚' → 9562 ← ╚ 14849434 = 200
xE29597 '╗' → 9559 ← ╗ 14849431 = 187
xE295A0 '╠' → 9568 ← ╠ 14849440 = 204
xE295A3 '╣' → 9571 ← ╣ 14849443 = 185
xE2959D '╝' → 9565 ← ╝ 14849437 = 188

xE29592 '╒' → 9554 ← ╒ 14849426 = 213
xE295A1 '╡' → 9569 ← ╡ 14849441 = 181
xE29598 '╘' → 9560 ← ╘ 14849432 = 212
xE29595 '╕' → 9557 ← ╕ 14849429 = 184
xE2959E '╞' → 9566 ← ╞ 14849438 = 198
xE2959B '╛' → 9563 ← ╛ 14849435 = 190
xE295A4 '╤' → 9572 ← ╤ 14849444 = 209
xE295AA '╪' → 9578 ← ╪ 14849450 = 216
xE295A7 '╧' → 9575 ← ╧ 14849447 = 207
xE29593 '╓' → 9555 ← ╓ 14849427 = 214
xE2959F '╟' → 9567 ← ╟ 14849439 = 199
xE29599 '╙' → 9561 ← ╙ 14849433 = 211
xE29596 '╖' → 9558 ← ╖ 14849430 = 183
xE295A2 '╢' → 9570 ← ╢ 14849442 = 182
xE2959C '╜' → 9564 ← ╜ 14849436 = 189
xE295A5 '╥' → 9573 ← ╥ 14849445 = 210
xE295AB '╫' → 9579 ← ╫ 14849451 = 215
xE295A8 '╨' → 9576 ← ╨ 14849448 = 208

xE29680 '▀' → 9600 ← ▀ 14849664 = 223
xE29684 '▄' → 9604 ← ▄ 14849668 = 220
